company_name,industry,funding_rounds,total_funding,job_postings_30d,employee_growth_pct,hiring_roles,industry_growth_rate,regional_employment_trend,funding_per_employee,days_since_last_funding,growth_momentum,is_hot_lead,last_funding_year,last_funding_month,last_funding_day,last_funding_day_of_week,last_funding_day_of_year,last_funding_week_of_year,last_funding_is_weekend
Wallace Group,Retail,3.06708834992954,8958057.42,10.575480342651222,-9.354576345228832,Marketing,8.7,14.6,-10924.460268292683,1525,116454746.46,0,2020,12,18,4,353,51,False
"Walsh, Baker and Andrews",SaaS,5.037552966036275,1042722.02,7.758334097495102,-4.667017010042938,Engineering,22.5,-2.9,-2266.7870000000003,1128,8341776.16,0,2022,1,19,2,19,3,False
Willis Ltd,Retail,4.646094055667941,7770933.08,6.548583702447491,4.774656892603601,Engineering,28.1,11.6,15237.123686274512,892,54396531.56,0,2022,9,12,0,255,37,False
Edwards Inc,Healthcare,3.520820396946673,1555763.1,8.658402554049701,-2.85358546755797,Engineering,7.7,-2.2,-8188.226842105264,1318,12446104.8,0,2021,7,13,1,194,28,False
Bowman Inc,Healthcare,1.8273596448361444,3161033.54,13.61440312375698,29.963226997622503,Sales,29.1,8.5,1060.7495100671142,1663,44254469.56,1,2020,8,2,6,215,31,True
Garza Group,SaaS,3.0265598692868947,3016151.11,9.225672557232103,7.694705736718399,Engineering,17.8,13.4,2669.1602743362832,1044,27145359.99,0,2022,4,13,2,103,15,False
"Moses, Page and Mann",Fintech,2.165581788754302,8503908.06,9.57617340456708,-8.548125736183005,Marketing,8.6,-4.6,-10498.651925925926,1239,68031264.48,0,2021,9,30,3,273,39,False
"Taylor, Haynes and Hernandez",Retail,2.2624150456540733,3764480.82,12.25181154915922,30.370336802476675,Engineering,24.5,3.3,1242.402910891089,1316,45173769.84,0,2021,7,15,3,196,28,False
"Hudson, Douglas and Donovan",Fintech,1.8872874419015893,4599575.12,6.960285739845311,43.45270988381177,Engineering,28.8,2.9,1006.471579868709,241,36796600.96,0,2024,6,24,0,176,26,False
Hays LLC,Healthcare,0.9960998910874824,6887766.84,8.107594184902762,-8.315911308017203,Operations,21.3,1.4,-10436.010363636364,926,55102134.72,0,2022,8,9,1,221,32,False
Ellis LLC,Retail,1.9032063930337169,10013315.37,7.077252755141213,18.12335685887643,Operations,8.1,10.1,5594.030932960895,286,70093207.58999999,0,2024,5,10,4,131,19,False
Hill PLC,Fintech,3.816587094132117,2417036.02,8.339803648444025,5.801744368817086,Operations,16.0,7.4,3356.994472222222,1363,21753324.18,0,2021,5,29,5,149,21,True
"Winters, Carson and Meyer",Fintech,1.795902366149089,918185.0,18.385649087002584,54.76353868611846,Sales,21.8,0.6,187.76789366053168,1204,14690960.0,0,2021,11,4,3,308,44,False
Warren-Santos,SaaS,6.149218690176382,2058119.21,19.561904710729134,36.532079958882655,Sales,12.2,5.6,547.3721303191489,1719,41162384.2,1,2020,6,7,6,159,23,True
Wilson-Green,SaaS,1.814720964003982,9486457.77,13.737780389307218,-4.027596767219666,Sales,17.3,3.1,-32711.923344827585,1333,113837493.24,0,2021,6,28,0,179,26,False
Schneider-Hall,Healthcare,1.993855133337998,1989202.62,8.450373685698802,4.768461463994197,Marketing,29.2,-1.0,3060.311723076923,1713,17902823.580000002,0,2020,6,13,5,165,24,True
Silva-Rodriguez,Fintech,2.982588607523625,2714234.14,11.737061213651154,37.114103962698806,Operations,22.9,14.8,807.8077797619048,1199,32570809.68,1,2021,11,9,1,313,45,False
Phillips-Robinson,Healthcare,4.258827973805977,2158196.46,5.300674338847895,25.316380343766053,Operations,16.1,13.0,793.454580882353,714,12949178.76,0,2023,3,9,3,68,10,False
Morgan Ltd,Tech,2.6391132580486434,1317749.44,5.24201795590006,0.6053490310442455,Operations,29.0,6.7,8235.934,1044,6588747.199999999,0,2022,4,13,2,103,15,False
Baker-Gray,Tech,1.978498899981455,3647158.35,10.232372780964802,42.896676585695424,Sales,18.6,4.3,1018.7593156424582,1641,40118741.85,1,2020,8,24,0,237,35,False
Gonzales-Palmer,Fintech,2.6646575119930764,5598811.01,12.715340017559909,21.546787179687357,Operations,17.1,6.4,2521.9869414414416,981,55988110.1,0,2022,6,15,2,166,24,False
Thomas Inc,Retail,5.168821564058944,111315.26,13.994365579625166,27.29471816956229,Engineering,9.3,4.7,37.86233333333333,911,1335783.12,0,2022,8,24,2,236,34,False
Fields PLC,Tech,4.090155074338345,3628277.79,10.810962645489267,19.62060169765785,Operations,7.4,4.0,1769.8916048780488,1671,43539333.48,1,2020,7,25,5,207,30,True
"Johnson, Everett and Grimes",SaaS,1.7835854165778278,2193157.51,11.677709815054827,32.35811829152296,Engineering,25.0,-3.9,572.6259817232376,120,28511047.629999995,0,2024,10,23,2,297,43,False
Roberts-Butler,Fintech,1.0091349405150392,1948049.69,15.506490094410116,27.04652734308885,Marketing,27.0,-4.6,763.9410549019608,188,31168795.04,0,2024,8,16,4,229,33,False
"Wang, Horn and Johnston",Fintech,2.58238225932216,561895.24,13.284718719806255,4.496378475814214,Operations,28.7,-2.9,985.7811228070176,1786,7304638.12,0,2020,4,1,2,92,14,False
Dawson Group,Fintech,2.027211229913806,7037537.18,9.872638047396984,41.611905900968445,Engineering,15.2,11.5,1876.6765813333327,1605,70375371.8,0,2020,9,29,1,273,40,False
"Smith, Martin and Hunt",Healthcare,2.833901976438685,6681546.33,11.376331000776029,14.916278362842652,Sales,26.2,-0.4,4639.962729166667,857,73497009.63,0,2022,10,17,0,290,42,False
"Reed, Berry and Nelson",Tech,2.0767984346384014,806198.13,6.267709450943756,37.08664711383537,Sales,12.5,-2.4,202.05466917293236,1258,4837188.78,0,2021,9,11,5,254,36,True
"Howell, Crawford and Rhodes",Healthcare,1.0580377830437686,7969173.1,13.834715987298637,8.575915743539197,Engineering,15.4,-1.1,7589.688666666666,1808,95630077.2,0,2020,3,10,1,70,11,False
Green PLC,SaaS,3.2431473704995515,606195.45,16.02998669631672,26.96231023023805,Engineering,29.4,9.8,178.29277941176468,1272,9699127.2,0,2021,8,28,5,240,34,True
"Ramos, Ray and Hall",Fintech,5.015214849451464,7993083.8,9.425325781714534,20.94623649821489,Operations,18.6,-4.2,3976.6586069651735,1697,79930838.0,0,2020,6,29,0,181,27,False
Carter-Liu,Tech,4.655761700591072,4772595.73,14.59491642663878,6.336476336141775,Operations,13.3,2.8,6721.965816901409,421,66816340.220000006,0,2023,12,27,2,361,52,False
Holmes-Murray,Tech,3.981310556649261,14460967.37,6.586448192801697,36.60663761812777,Operations,11.1,14.6,4085.019031073446,1003,101226771.59,0,2022,5,24,1,144,21,False
"Diaz, Wilson and Coleman",Retail,1.9597978085882444,2517444.67,7.572387418074369,1.4764729040189255,Operations,23.2,1.4,10945.411608695653,412,17622112.689999998,0,2024,1,5,4,5,1,False
Ferguson-Ballard,Retail,1.8039280953011687,6657761.57,7.834640529468236,3.2164815196260714,Sales,7.5,-2.1,13870.336604166669,295,59919854.13,0,2024,5,1,2,122,18,False
Pace Ltd,Retail,2.690766900385784,3537459.66,9.097299825179514,40.22894238781223,Operations,8.3,12.4,791.378,1344,35374596.6,0,2021,6,17,3,168,24,False
Tyler Inc,Fintech,1.4938260186715118,5597379.67,11.046996011728249,-4.169616296900947,Sales,10.0,-0.4,-20731.03581481481,1389,61571176.37,0,2021,5,3,0,123,18,False
Watkins Inc,Healthcare,5.014188545163605,2160733.29,15.036656693310336,-8.376682141224784,Engineering,20.1,12.5,-2959.908616438356,1525,28089532.77,0,2020,12,18,4,353,51,False
Dixon PLC,Fintech,2.123839503041304,969338.51,10.227270063738665,29.698067262556428,Sales,6.3,10.1,267.7730690607734,503,10662723.61,0,2023,10,6,4,279,40,False
"Peck, Savage and Huang",SaaS,1.9478823860304664,10179259.15,11.319865209045709,0.8959378177050827,Engineering,29.3,9.0,56551.43972222223,1335,101792591.5,0,2021,6,26,5,177,25,True
"Richard, Black and Conner",Fintech,1.987156533255115,174668.47,9.864853989915074,12.430452627559289,Sales,14.2,11.3,114.91346710526317,773,1746684.7,0,2023,1,9,0,9,2,False
Kim-Vaughn,Tech,2.02156705786958,11846484.65,11.277377553171814,2.0328940540291724,Marketing,16.2,12.8,35898.43833333333,1801,142157815.8,0,2020,3,17,1,77,12,False
"Taylor, Robinson and Lara",Healthcare,2.817648772968976,353992.97,2.721841670960869,35.21088162520132,Operations,23.6,0.3,95.933054200542,1806,1061978.91,0,2020,3,12,3,72,11,False
Carter-Bean,SaaS,1.9090712770691445,6056822.38,11.67737621676918,25.117362899364416,Marketing,12.2,13.2,2194.5008623188405,1526,78738690.94,1,2020,12,17,3,352,51,False
Osborne-Cummings,Retail,1.840241163499536,9247589.42,10.447482009584675,31.335417667780213,Operations,24.0,6.8,2926.4523481012657,718,92475894.2,0,2023,3,5,6,64,9,True
Taylor-Mcdonald,Tech,2.042104471946523,962900.66,5.893587315852361,4.936815960128141,Marketing,20.4,13.3,1689.299403508772,1080,5777403.96,0,2022,3,8,1,67,10,False
"Kramer, Pratt and Rivas",Retail,3.431653480993668,1249764.63,8.3524073896753,11.140533633693083,Sales,22.2,-3.8,1190.2520285714284,1411,9998117.04,0,2021,4,11,6,101,14,True
Best-Woods,Tech,2.235109092846588,3076751.39,7.655162548435456,21.06910305630248,Operations,27.0,1.4,1392.1951990950226,1543,24614011.12,0,2020,11,30,0,335,49,False
"Mcclain, Johnson and Schwartz",Healthcare,4.966634705500512,1890593.71,5.859869231997728,3.5821842765761764,Marketing,12.7,-0.5,4396.729558139535,270,11343562.26,0,2024,5,26,6,147,21,True
"Bryant, Armstrong and Hill",Healthcare,3.327761120030506,1729411.42,9.440941270284318,16.781187112393443,Sales,27.9,2.5,993.9146091954024,1139,13835291.36,0,2022,1,8,5,8,1,True
Frost-Morris,Fintech,3.2891398757843118,4780208.65,14.08411163519769,45.56769814628051,Operations,5.3,13.9,1079.0538713318283,510,66922921.10000001,1,2023,9,29,4,272,39,False
"Olson, Ponce and Martin",Healthcare,4.824035995501017,7487795.88,5.169524939157775,18.39459285728714,Engineering,7.1,-3.7,4378.828,433,44926775.28,0,2023,12,15,4,349,50,False
Smith PLC,Tech,2.066718145544081,141787.69,9.251186890722703,36.676924528372695,Marketing,14.2,9.7,34.582363414634145,1318,1276089.21,0,2021,7,13,1,194,28,False
Garcia PLC,Tech,1.970663068678996,7056005.77,16.75732290603991,-8.98669304811926,Marketing,20.9,7.6,-8931.652873417721,1577,119952098.09,0,2020,10,27,1,301,44,False
"Jennings, Allison and Garrett",Fintech,0.848655729541318,4387676.65,10.271832178495412,27.62199300570896,Marketing,18.6,7.4,1755.07066,368,43876766.5,0,2024,2,18,6,49,7,True
"Wilson, Mccoy and Brown",Retail,5.148807304248395,2923393.92,6.858844113669787,-7.056825006172436,Engineering,28.1,13.1,-5128.761263157895,1596,20463757.44,0,2020,10,8,3,282,41,False
Medina and Sons,Fintech,3.8331233863640177,6593943.97,6.112907382370246,1.550624421570739,Engineering,11.1,1.8,29972.47259090909,125,39563663.82,0,2024,10,18,4,292,42,False
"Elliott, Castro and Sparks",Fintech,1.640302026880025,6801516.57,11.28278625524898,14.445105801789436,Sales,23.9,11.6,4474.681953947369,234,88419715.41,0,2024,7,1,0,183,27,False
"Carter, Boyer and Ortiz",Tech,2.674858412951568,5316721.38,11.366152565146406,-0.7817706320672697,Sales,19.1,13.7,265836.069,1011,58483935.18,0,2022,5,16,0,136,20,False
Green Group,Tech,5.832743569665633,1802437.3,12.572275215773718,25.524212881892765,Sales,12.3,8.3,675.0701498127341,1718,21629247.6,1,2020,6,8,0,160,24,False
Acosta-Wells,Retail,7.979951568910406,4171381.07,11.515672418783408,49.13362245846966,Sales,29.3,12.5,821.1380059055118,243,45885191.77,1,2024,6,22,5,174,25,True
Vaughn-Davis,SaaS,4.539529760345324,1923205.28,9.491723520024545,19.030329186108368,Marketing,5.4,3.2,1006.9137591623036,1417,21155258.08,1,2021,4,5,0,95,14,False
"Watson, Barker and Montgomery",SaaS,2.361504138906408,7776496.27,8.206838620108723,28.903797201051976,Sales,6.1,-2.9,2516.6654595469254,1458,77764962.69999999,0,2021,2,23,1,54,8,False
"Paul, Banks and Morgan",Fintech,2.9113530345984557,1364583.11,7.722211156735958,29.536138707430293,Marketing,17.8,4.5,470.5459,562,12281247.99,0,2023,8,8,1,220,32,False
Thomas Group,SaaS,1.0934307752677996,12722257.01,8.467105599070404,29.013596948105704,Operations,9.9,13.9,3988.16834169279,1391,101778056.08,0,2021,5,1,5,121,17,True
Oliver-Smith,Tech,5.9302452286907466,4490810.28,6.899495683271298,-3.806743414070493,Operations,10.7,-1.4,-19525.26208695652,1422,31435671.96,0,2021,3,31,2,90,13,False
"Sandoval, Martinez and White",Healthcare,2.971101601990067,7982989.6,11.299551124378128,-8.369259466510382,Sales,12.1,4.3,-10787.823783783784,437,95795875.2,0,2023,12,11,0,345,50,False
Clark PLC,SaaS,1.1422830702319189,10518791.69,6.176141396372488,45.72046488493623,Operations,19.0,12.6,2233.289106157112,855,73631541.83,0,2022,10,19,2,292,42,False
Moore Ltd,Fintech,2.709476146679784,10340062.54,8.63745952244345,26.82481226450718,Operations,28.4,10.8,3801.493580882353,1089,82720500.32,0,2022,2,27,6,58,8,True
Green Inc,SaaS,3.053409122905748,251802.51,6.642545258815108,-5.8115078249452425,Engineering,11.9,1.3,-475.0990754716981,703,1762617.57,0,2023,3,20,0,79,12,False
Stanton Ltd,Tech,2.1043412252245117,5981016.89,16.050456079462716,-2.221430010088051,Engineering,23.4,-2.7,-39873.44593333333,1620,95696270.24,0,2020,9,14,0,258,38,False
"Hudson, Crosby and Martinez",SaaS,3.3426975833792465,3498056.04,6.438970625675255,4.860629913965167,Engineering,20.0,13.1,5928.908542372881,1286,31482504.36,0,2021,8,14,5,226,32,True
Smith LLC,Healthcare,3.6143667766415657,2138101.93,11.218584111127322,-5.651755686129307,Marketing,6.2,2.8,-4751.337622222222,217,25657223.160000004,0,2024,7,18,3,200,29,False
"Hardin, Trevino and Wolfe",Fintech,3.94390585602146,1178883.91,13.899845822005911,43.24171437725698,Marketing,17.2,4.0,288.9421348039216,984,15325490.829999998,0,2022,6,12,6,163,23,True
"Kaiser, Miller and Blair",Fintech,4.32830485968927,2643600.61,6.367603893096145,6.22648752923482,Operations,16.5,4.8,3723.38114084507,897,21148804.88,0,2022,9,7,2,250,36,False
Anderson and Sons,Retail,3.890484547188733,454617.09,3.9766842785192895,17.786798957910303,Engineering,8.4,-3.1,251.1696629834254,289,2273085.45,0,2024,5,7,1,128,19,False
"Berry, Bailey and Munoz",Tech,0.951431842832722,6751826.73,11.388787771187037,2.3949987292793997,Operations,7.2,-0.6,20460.081,464,74270094.03,0,2023,11,14,1,318,46,False
"Levy, Cruz and Anderson",Retail,1.9103608674028767,8089218.11,8.717516157802454,49.3481139780904,Operations,13.1,11.3,1743.3659719827588,997,72802962.99000001,0,2022,5,30,0,150,22,False
Kane-Williams,Healthcare,3.123520053727347,6194544.52,10.66573352785051,21.10438145287152,Engineering,16.9,13.7,2978.1464038461536,440,74334534.24,1,2023,12,8,4,342,49,False
"Nolan, Moore and Bartlett",Tech,3.088351934052171,7167489.95,5.676549371147019,-3.937757278750611,Operations,12.3,8.6,-24715.482586206897,1329,50172429.65,0,2021,7,2,4,183,26,False
"Duarte, Vaughn and Cole",Tech,4.568764577315965,2978478.55,10.526876304135818,-9.279901824649608,Marketing,26.3,-0.1,-3818.562243589743,336,29784785.5,0,2024,3,21,3,81,12,False
Dean and Sons,Healthcare,2.115634082509944,4776041.33,10.366444244037885,-8.924749103152042,Engineering,20.9,3.6,-6542.5223698630125,976,47760413.3,0,2022,6,20,0,171,25,False
Cole-Payne,Retail,4.076252896227774,5483958.5,7.318883220421309,38.37030652927229,Engineering,5.7,10.0,1311.9517942583732,120,38387709.5,0,2024,10,23,2,297,43,False
Simpson-Wilson,SaaS,1.9659644629057904,1284216.05,8.059198232584565,32.14682212470984,Sales,27.2,-3.5,428.0720166666667,1186,10273728.4,0,2021,11,22,0,326,47,False
Smith Inc,SaaS,1.877541829096821,6965022.12,8.002975007245862,35.909815865059,Operations,12.3,9.4,2001.4431379310347,994,48755154.84,0,2022,6,2,3,153,22,False
"Smith, Scott and Wallace",Healthcare,2.4840754031664547,2514366.02,4.876691932704559,38.42439953574736,Marketing,9.8,8.4,646.3665861182519,1064,12571830.1,0,2022,3,24,3,83,12,False
"Williamson, Brown and Jacobson",Retail,5.527253697414315,3753035.63,2.6834807234633966,21.563358322885723,Engineering,13.5,7.4,1563.7648458333333,1723,11259106.89,0,2020,6,3,2,155,23,False
"Nguyen, Phillips and Harris",Fintech,3.4670832080517755,6775194.72,6.859506583707412,8.845957112386687,Engineering,10.1,-3.9,6775.19472,314,47426363.04,0,2024,4,12,4,103,15,False
Gonzales PLC,Healthcare,1.9738704222609464,1344340.34,14.952828621923327,16.161409405144877,Engineering,13.3,14.4,777.0753410404625,1520,20165105.1,0,2020,12,23,2,358,52,False
Burke Inc,Healthcare,1.853728912873716,5092065.95,18.05766779388115,40.095969851348,Operations,10.4,0.7,1238.945486618005,933,86565121.15,1,2022,8,2,1,214,31,False
Duncan-Garner,Healthcare,3.13392464465085,2397753.74,13.021437739214594,10.788975795121065,Sales,29.8,-3.8,2031.9946949152545,620,31170798.620000005,0,2023,6,11,6,162,23,True
Lewis-Rodriguez,Fintech,4.058447065570577,2605021.26,11.987512660543672,28.5381805325706,Sales,11.2,-1.1,975.6633932584268,995,31260255.12,1,2022,6,1,2,152,22,False
"Baldwin, Rice and Hill",Healthcare,1.0506858499929193,8832482.48,12.099196369392542,45.86000017912786,Marketing,12.4,3.8,1984.8275235955057,1069,105989789.76,0,2022,3,19,5,78,11,True
Thomas-Lawson,Retail,1.8776270889753277,8255192.26,7.065781025358873,12.58963468076566,Sales,23.8,-1.8,5938.987237410071,1142,57786345.82,0,2022,1,5,2,5,1,False
Rowland and Sons,Healthcare,5.390776599253495,4007116.01,9.941971925887364,15.707841591022598,Engineering,29.3,-0.8,2443.3634207317077,125,40071160.1,0,2024,10,18,4,292,42,False
Bowman Group,SaaS,4.716193104541274,2593590.55,6.6135773125125645,47.01706195148488,Marketing,27.1,-3.2,570.0199010989011,263,18155133.85,0,2024,6,2,6,154,22,True
Bradley-Grimes,Fintech,2.8507474453854984,2088157.1,9.38603088028492,-5.448510608189313,Marketing,11.2,1.0,-3663.43350877193,1339,18793413.9,0,2021,6,22,1,173,25,False
"Stout, Ford and Johnson",Healthcare,4.08731648002547,435369.73,3.979244424405981,44.6441060524417,Engineering,14.1,1.1,115.17717724867724,839,1741478.92,0,2022,11,4,4,308,44,False
"Gordon, Gibson and Woods",Fintech,2.837612181138958,8850573.85,18.92725716265018,12.051969008622477,Sales,23.8,-3.1,7024.2649603174605,1044,141609181.6,0,2022,4,13,2,103,15,False
Reed-Jacobs,SaaS,3.804487440124273,2215476.54,6.384172375529093,6.792135039022665,Engineering,23.6,-2.9,3077.05075,1480,15508335.78,0,2021,2,1,0,32,5,False
"Scott, Bird and Rodriguez",Tech,3.023318396017661,904355.92,5.387204482556286,30.300617707662976,Engineering,5.4,-0.6,265.9870352941177,1474,5426135.5200000005,0,2021,2,7,6,38,5,True
Noble Inc,Fintech,1.0746014944106697,4140746.06,12.465999971466823,37.7682705593187,Marketing,29.7,9.2,1196.7474161849711,1568,49688952.72,0,2020,11,5,3,310,45,False
"Zavala, Ramos and Lee",Fintech,4.078428723799033,2787898.65,10.670357415992058,3.2615689678659114,Engineering,14.1,1.5,6195.330333333333,1613,27878986.5,0,2020,9,21,0,265,39,False
Williams and Sons,Fintech,2.0453437250487183,4854575.55,19.502093553192136,2.530914135975372,Sales,25.7,13.3,14710.835,820,92236935.45,0,2022,11,23,2,327,47,False
Cole-Franklin,Tech,1.036955094302202,1665429.58,12.70649730779721,23.121196562711397,Marketing,28.5,1.7,736.9157433628319,448,21650584.54,0,2023,11,30,3,334,48,False
King-Leblanc,Healthcare,4.6613873546428,1343365.9,9.30766366410117,-7.54241199504532,Sales,18.0,8.1,-1815.359324324324,1397,13433659.0,0,2021,4,25,6,115,16,True
Smith-Underwood,Healthcare,1.7990990725721827,6679020.19,13.910776333132516,22.857575371669384,Marketing,6.0,12.3,2759.925698347108,1554,80148242.28,1,2020,11,19,3,324,47,False
Wheeler LLC,Fintech,2.790701589487832,1961031.76,8.888218896308802,3.271507685024384,Engineering,19.7,6.9,4085.4828333333335,1317,21571349.36,0,2021,7,14,2,195,28,False
White PLC,Fintech,4.191268321327148,5500045.78,9.637954644887849,17.165324289058326,Marketing,10.4,14.5,2619.0694190476192,1193,49500412.02,0,2021,11,15,0,319,46,False
Dominguez Group,Retail,3.2061914732105485,2826239.46,11.628098175282238,40.59656000580914,Sales,13.0,13.3,717.3196598984772,709,31088634.06,1,2023,3,14,1,73,11,False
Kelly-Gonzalez,Tech,2.4311131846161427,3116950.79,16.097255520434146,6.0000175841307,Marketing,20.9,6.0,4101.251039473685,928,46754261.85,0,2022,8,7,6,219,31,True
"Taylor, Jones and Duke",Retail,5.461323817876864,4616461.35,5.975781057885296,14.940330884417348,Sales,15.7,-3.7,2637.977914285714,1554,27698768.1,0,2020,11,19,3,324,47,False
Oneill-Williams,Healthcare,4.494325468268385,2605415.49,6.580774837679274,12.643244817781817,Marketing,14.6,3.2,1514.7764476744187,235,15632492.94,0,2024,6,30,6,182,26,True
"Freeman, Cummings and Martinez",Retail,2.683486233608888,4191010.19,6.791983955404039,17.907056557282562,Operations,28.9,4.5,2315.4752430939225,163,33528081.52,0,2024,9,10,1,254,37,False
"Chen, Hartman and Bradley",Healthcare,2.0247085747075384,15460914.18,9.188576224682276,16.267301491972983,Operations,12.3,10.7,10239.016013245033,139,139148227.62,0,2024,10,4,4,278,40,False
Tucker-Soto,SaaS,3.488604270845285,2707391.1,15.39116119414078,23.1530587368606,Operations,23.6,3.1,963.4843772241992,1421,43318257.6,1,2021,4,1,3,91,13,False
Robinson-Peterson,Fintech,0.9834323443425224,4072354.63,9.004251349659919,4.998266382790359,Marketing,9.7,2.2,7683.687981132075,1034,40723546.3,0,2022,4,23,5,113,16,True
"Mckinney, Webb and Clark",Retail,4.887567961864035,791238.48,16.124463623372055,0.165439762153139,Marketing,19.2,-1.8,6593.654,607,10286100.24,0,2023,6,24,5,175,25,True
"Edwards, Fowler and Reyes",Retail,4.801900389417149,6146934.24,11.637607961086676,20.17998792802108,Engineering,11.8,11.5,2969.5334492753623,1180,67616276.64,0,2021,11,28,6,332,47,True
"Garcia, Garcia and Nichols",Tech,2.215865016721644,10468759.84,16.28665703586494,34.41545395370415,Operations,15.3,-1.5,3292.0628427672955,787,167500157.44,1,2022,12,26,0,360,52,False
Gregory Ltd,SaaS,3.060744188358597,4300142.98,9.35731964374791,8.963876056787806,Marketing,10.8,5.4,4526.466294736842,539,38701286.82000001,0,2023,8,31,3,243,35,False
Wood PLC,Healthcare,3.0928157561444296,2689271.68,10.66018835400881,45.745909822359,Marketing,8.4,12.8,574.6307008547009,240,29581988.48,1,2024,6,25,1,177,26,False
Diaz Ltd,Tech,2.919546300403913,7752692.9,8.150200292413915,-4.820972952974904,Engineering,28.5,6.1,-18029.518372093025,707,62021543.2,0,2023,3,16,3,75,11,False
Figueroa LLC,Retail,4.657975682888361,6300196.58,9.0047815082551,-7.966299554290994,Sales,8.9,11.3,-7500.234023809524,789,56701769.22,0,2022,12,24,5,358,51,True
Smith Inc,Fintech,0.8670195533682459,1988141.88,9.49708950827766,37.68540008505072,Sales,12.3,9.6,493.33545409429286,404,19881418.8,0,2024,1,13,5,13,2,True
White LLC,Tech,3.3792791143340004,1346535.82,6.463725592347501,4.71200906792454,Sales,19.4,11.3,2493.584851851852,1302,8079214.92,0,2021,7,29,3,210,30,False
